시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
오복경로당,경로당,충청북도 청주시 서원구 안뜸로 44(분평동),충청북도 청주시 서원구 분평동 312-30,36.61192366,127.4823309,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산10리,경로당,충청북도 청주시 흥덕구 옥산면 오산5길 13 (한울2차A 관리동),충청북도 청주시 흥덕구 옥산면 오산리 247-1,36.66518371,127.3697673,영업,,1995-09-11,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산11리,경로당,충청북도 청주시 흥덕구 옥산면 오송가락로 760 (금정1차A 관리동),충청북도 청주시 흥덕구 옥산면 오산리 589-1,36.66019768,127.3686621,영업,,2002-01-05,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
삼정1단지(아),경로당,경기도 수원시 권선구 당진로14번길 37,경기도 수원시 권선구 당수동 730-1,37.290514,126.9427948,영업,031-416-7357,1997-04-08,64.8,경기도 수원시 권선구청,2024-11-30,3740000,경기도 수원시
신성,경로당,충청북도 청주시 흥덕구 신성로108번길 67,충청북도 청주시 흥덕구 신성동 116-2,36.65493469,127.4164423,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신송1리,경로당,충청북도 청주시 상당구 남일면 신송1길 9-8,충청북도 청주시 상당구 남일면 신송리 174-2,36.57864678,127.489397,영업,,1992-09-23,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신송2리,경로당,충청북도 청주시 상당구 남일면 신송새터길 42,충청북도 청주시 상당구 남일면 신송리 618,36.57418844,127.4894991,영업,,1996-03-22,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신송3리,경로당,충청북도 청주시 상당구 남일면 가좌신송로 286,충청북도 청주시 상당구 남일면 신송리 506-1,36.57530548,127.4849162,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신안리경로당,마을회관및경로당,충청북도 청주시 청원구 내수읍 내수신안길 106,충청북도 청주시 청원구 내수읍 신안리 4-13,36.72407403,127.5204225,영업,,1993-08-25,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신영지웰시티1차,경로당,충청북도 청주시 흥덕구 대농로 17,충청북도 청주시 흥덕구 복대동 3379,36.64273967,127.4251024,영업,,2010-11-11,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신영지웰홈스,경로당,충청북도 청주시 흥덕구 진재로103번길 37,충청북도 청주시 흥덕구 복대동 3377,36.64014626,127.4276835,영업,,2010-11-11,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신율,경로당,충청북도 청주시 흥덕구 장구봉로137번길 7-2,충청북도 청주시 흥덕구 복대동 2340,36.62510277,127.4484716,영업,,1996-12-13,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신전,마을회관및경로당,충청북도 청주시 흥덕구 신전로175번길 132 (신전동),충청북도 청주시 흥덕구 신전동 168-6,36.60772385,127.4027878,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신촌,마을회관및경로당,충청북도 청주시 흥덕구 청주역로414번길 49 (신촌동),충청북도 청주시 흥덕구 신촌동 117-1,36.65287951,127.3943518,영업,,1999-11-30,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신촌리,마을회관및경로당,충청북도 청주시 흥덕구 옥산면 신촌길 19,충청북도 청주시 흥덕구 옥산면 신촌리 215-1,36.65076619,127.3558293,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신평1리경로당,마을회관및경로당,충청북도 청주시 청원구 오창읍 신평길 11,충청북도 청주시 청원구 오창읍 신평리 566-4,36.69271419,127.4375945,영업,,1995-03-13,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신평2리경로당,마을회관및경로당,충청북도 청주시 청원구 오창읍 지게바위길 2-3,충청북도 청주시 청원구 오창읍 신평리 22-4,36.69865123,127.4477717,영업,,1990-02-20,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
신화아파트경로당,경로당,충청북도 청주시 청원구 1순환로211번길 18,충청북도 청주시 청원구 내덕동 520-2,36.66334032,127.4886768,영업,,1991-01-24,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
쌍수1리,경로당,충청북도 청주시 상당구 남일면 쌍수길 3,충청북도 청주시 상당구 남일면 쌍수리 317-13,36.57778297,127.5110394,영업,,1998-08-04,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
쌍수2리,경로당,충청북도 청주시 상당구 남일면 쌍수관기길 20-1,충청북도 청주시 상당구 남일면 쌍수리 345-16,36.57588605,127.5137314,영업,,1991-03-02,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
쌍수2리 마을회관,마을회관,"충청북도 청주시 상당구 남일면 쌍수관기길 20-1, 2층","충청북도 청주시 상당구 남일면 쌍수리 345-16, 2층",36.57588605,127.5137314,영업,,1991-03-02,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
