"RSTR_NM","DTL_ADRES","RN_DTL_ADRES","LO","LA","USE_PSB_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCDTN","CHCK_MATTER_NIGHT_OPN_AT","FCLTY_OPRN_AT"
"강변뜨란채경로당","2915 청주신영강변뜨란채아파트 강변뜨란채경로당","충청북도 청주시 상당구  무심동로  86 , 강변뜨란채경로당 (용암동, 청주신영강변뜨란채아파트)",127.498021,36.613798,,4,,"N","Y"
"금호1차경로당","3366 금호어울림1단지 금호1차경로당","충청북도 청주시 흥덕구  대신로73번길  14 , 금호1차경로당 (복대동, 금호어울림1단지)",127.4349373,36.6398102,,2,,"N","Y"
"부영3차경로당","2540 중흥마을부영그린타운3차 부영e그린타운경로당","충청북도 청주시 상당구  중흥로  178 , 부영e그린타운경로당 (용암동, 중흥마을부영그린타운3차)",127.5137156,36.61865,,4,,"N","Y"
"중고개경로당","784 중고개경로당","충청북도 청주시 상당구  영운천로167번길  14 , 중고개경로당 (용정동)",127.5144564,36.6240906,,4,,"N","Y"
"현진에버빌경로당","1103 청주현진에버빌아파트 현진에버빌경로당","충청북도 청주시 서원구  탑골로  6 , 현진에버빌경로당 (산남동, 청주현진에버빌아파트)",127.4734309,36.6112499,,2,,"N","Y"
"농협중앙회구룡지점","1112 농협중앙회구룡지점","충청북도 청주시 서원구  탑골로  3 , 농협중앙회구룡지점 (산남동)",127.4733253,36.6118616,,0,,"N","Y"
"기업은행산남지점","500-0","충청북도 청주시 서원구 산남로 32 (산남동)",127.4704479,36.6116523,,0,,"N","Y"
"선암1리경로당","182-0","충청북도 청주시 청원구 북이면 선암영하로 67 ",127.5874633,36.7304664,,1,,"Y","Y"
"용계2리경로당","533-0","충청북도 청주시 청원구 북이면 용계내추로 26 ",127.5178519,36.7503419,,1,,"Y","Y"
"가경뜨란채7단지경로당","1581-0","충청북도 청주시 흥덕구 풍년로 40 (가경동, 뜨란채7단지아파트)",127.4401672,36.6177865,,2,,"N","Y"
"봉명1동행정복지센터","210-7 봉명1동주민센터","충청북도 청주시 흥덕구  직지대로620번길  70 , 봉명1동주민센터 (봉명동)",127.4596211,36.6404487,,14,,"N","Y"
"새로나경로당","1030 새로나경로당","충청북도 청주시 흥덕구  봉명로233번길  14 , 새로나경로당 (봉명동)",127.4675984,36.6408322,,2,,"N","Y"
"고은5리경로당","50-3","충청북도 청주시 상당구 남일면 쌍암동길 44-9 ",127.5258449,36.5690176,,3,,"N","Y"
"주공4-2경로당","1261-0","충청북도 청주시 서원구 1순환로1137번길 80 (분평동, 분평주공4단지아파트)",127.4941036,36.6096802,,2,,"N","Y"
"주공5경로당","1360-0","충청북도 청주시 서원구 분평로 88-1 (분평동, 분평주공5단지아파트)",127.4958014,36.6077036,,3,,"N","Y"
"주공6경로당","1366 분평주공6단지아파트 주공6경로당","충청북도 청주시 서원구  1순환로1137번길  19 , 주공6경로당 (분평동, 분평주공6단지아파트)",127.4910388,36.6074956,,2,,"N","Y"
"주공7경로당","1386-0","충청북도 청주시 서원구 분평로 18 (분평동, 분평주공7단지아파트)",127.4874893,36.6069974,,2,,"N","Y"
"현대대우경로당","1249 현대대우아파트 현대대우 경로당","충청북도 청주시 서원구  월평로  24 , 현대대우 경로당 (분평동, 현대대우아파트)",127.4882853,36.6088716,,3,,"N","Y"
"대원경로당","1255-0","충청북도 청주시 서원구 1순환로1137번길 79 (분평동, 주은프레지던트아파트)",127.4912685,36.6095294,,2,,"N","Y"
"교동1리남자","77-65","충청북도 증평군 증평읍 중앙로10길 11 ",127.5843562,36.7852492,,1,,"N","Y"
"성로경로당","163-1","충청북도 증평군 증평읍 삼일로11길 18-1 ",127.5849153,36.7839348,,1,,"N","Y"
"송산휴먼시아1단지","720-0","충청북도 증평군 증평읍 송산로 35 (증평송산1휴먼시아)",127.5744069,36.789579,,1,,"N","Y"
"주공3-2경로당","1200 주공3-2경로당","충청북도 청주시 서원구  1순환로1137번길  130 , 주공3-2경로당 (분평동)",127.4946634,36.6127709,,2,,"N","Y"
"송산7리","721-0","충청북도 증평군 증평읍 송산로 11 (지평더웰아파트)",127.5732936,36.7898059,,1,,"N","Y"
"서당1리경로당","60-5","충청북도 청주시 청원구 북이면 서당길 39 ",127.5546411,36.7315284,,3,,"Y","Y"
